id,about,date,type,year,month,day
1005288,WEL-97/01 omtrent de bemiddeling van het OCMW bij uitdrijvingen uit sociale woningen,1997-02-03,Omzendbrief,1997,2,3
1005498,houdende de Vlaamse Wooncode,1997-07-15,Decreet,1997,7,15
1018002,"houdende de toekenning van subsidies aan de Vlaamse Maatschappij voor Sociaal Wonen voor het vervangen van ramen door thermisch isolerende ramen door sociale huisvestingsmaatschappijen en voor het uitwerken van een energetische optimalisatieprocedure door de VMSW met toepassing van REG-maatregelen voor bestaande collectieve installaties voor verwarming, sanitair en ventilatie",2009-04-30,Besluit van de Vlaamse Regering,2009,4,30
1029401,"tot het verlenen van uitstel van maximaal vijf jaar aan Gewestelijke Maatschappij voor Woningbouw, cvba met sociaal oogmerk, om te voldoen aan de voorwaarde met betrekking tot de schaalgrootte, vermeld in artikel 40, § 1, tweede lid, 11°, van het decreet van 15 juli 1997 houdende de Vlaamse Wooncode",2018-05-18,Besluit van de Vlaamse Regering,2018,5,18
1029402,"tot het verlenen van uitstel van maximaal vijf jaar aan Deinse Sociale Bouwmaatschappij, CVBA met sociaal oogmerk, om te voldoen aan de voorwaarde met betrekking tot de schaalgrootte, vermeld in artikel 40, § 1, tweede lid, 11°, van het decreet van 15 juli 1997 houdende de Vlaamse Wooncode
",2018-05-18,Besluit van de Vlaamse Regering,2018,5,18
1029403,"tot het verlenen van uitstel van maximaal vijf jaar aan Merelbeekse Sociale Woningen, CVBA met sociaal oogmerk, om te voldoen aan de voorwaarde met betrekking tot de schaalgrootte, vermeld in artikel 40, § 1, tweede lid, 11°, van het decreet van 15 juli 1997 houdende de Vlaamse Wooncode
",2018-05-18,Besluit van de Vlaamse Regering,2018,5,18
1029404,"tot het verlenen van uitstel van maximaal vijf jaar aan Sociale Bouwmaatschappij Schelle, cvba met sociaal oogmerk, om te voldoen aan de voorwaarde met betrekking tot de schaalgrootte, vermeld in artikel 40, § 1, tweede lid, 11°, van het decreet van 15 juli 1997 houdende de Vlaamse Wooncode
",2018-05-18,Besluit van de Vlaamse Regering,2018,5,18
1029405,"tot het verlenen van uitstel van maximaal vijf jaar aan Zwijndrechtse Huisvestingsmaatschappij, cvba met sociaal oogmerk, om te voldoen aan de voorwaarde met betrekking tot de schaalgrootte, vermeld in artikel 40, § 1, tweede lid, 11°, van het decreet van 15 juli 1997 houdende de Vlaamse Wooncode
",2018-05-18,Besluit van de Vlaamse Regering,2018,5,18
1029406,"tot het verlenen van uitstel van maximaal vijf jaar aan Hulp in Woningnood, cvba met sociaal oogmerk, om te voldoen aan de voorwaarde met betrekking tot de schaalgrootte, vermeld in artikel 40, § 1, tweede lid, 11°, van het decreet van 15 juli 1997 houdende de Vlaamse Wooncode
",2018-05-18,Besluit van de Vlaamse Regering,2018,5,18
1029407,"tot het verlenen van uitstel van maximaal vijf jaar aan Gewestelijke Maatschappij voor Volkswoningen, cvba met sociaal oogmerk, om te voldoen aan de voorwaarde met betrekking tot de schaalgrootte, vermeld in artikel 40, § 1, tweede lid, 11°, van het decreet van 15 juli 1997 houdende de Vlaamse Wooncode
",2018-05-18,Besluit van de Vlaamse Regering,2018,5,18
1029408,"tot het verlenen van uitstel van maximaal vijf jaar aan Eigen Woning, cvba met sociaal oogmerk, om te voldoen aan de voorwaarde met betrekking tot de schaalgrootte, vermeld in artikel 40, § 1, tweede lid, 11°, van het decreet van 15 juli 1997 houdende de Vlaamse Wooncode
",2018-05-18,Besluit van de Vlaamse Regering,2018,5,18
1029409,"tot het verlenen van uitstel van maximaal vijf jaar aan De Nieuwe Haard, cvba met sociaal oogmerk, om te voldoen aan de voorwaarde met betrekking tot de schaalgrootte, vermeld in artikel 40, § 1, tweede lid, 11°, van het decreet van 15 juli 1997 houdende de Vlaamse Wooncode
",2018-05-18,Besluit van de Vlaamse Regering,2018,5,18
1029410,"tot het verlenen van uitstel van maximaal vijf jaar aan Ninove Welzijn, cvba met sociaal oogmerk, om te voldoen aan de voorwaarde met betrekking tot de schaalgrootte, vermeld in artikel 40, § 1, tweede lid, 11°, van het decreet van 15 juli 1997 houdende de Vlaamse Wooncode
",2018-05-18,Besluit van de Vlaamse Regering,2018,5,18
1029411,"tot het verlenen van uitstel van maximaal vijf jaar aan Eigen Gift - Eigen Hulp, cvba met sociaal oogmerk, om te voldoen aan de voorwaarde met betrekking tot de schaalgrootte, vermeld in artikel 40, § 1, tweede lid, 11°, van het decreet van 15 juli 1997 houdende de Vlaamse Wooncode
",2018-05-18,Besluit van de Vlaamse Regering,2018,5,18
1029412,"tot het verlenen van uitstel van maximaal vijf jaar aan Eigen Dak, cvba met sociaal oogmerk, om te voldoen aan de voorwaarde met betrekking tot de schaalgrootte, vermeld in artikel 40, § 1, tweede lid, 11°, van het decreet van 15 juli 1997 houdende de Vlaamse Wooncode
",2018-05-18,Besluit van de Vlaamse Regering,2018,5,18
1029413,"tot het verlenen van uitstel van maximaal vijf jaar aan Het Lindenhof, cvba met sociaal oogmerk, om te voldoen aan de voorwaarde met betrekking tot de schaalgrootte, vermeld in artikel 40, § 1, tweede lid, 11°, van het decreet van 15 juli 1997 houdende de Vlaamse Wooncode
",2018-05-18,Besluit van de Vlaamse Regering,2018,5,18
1029414,"tot het verlenen van uitstel van maximaal vijf jaar aan T' Heist Best, cvba met sociaal oogmerk, om te voldoen aan de voorwaarde met betrekking tot de schaalgrootte, vermeld in artikel 40, § 1, tweede lid, 11°, van het decreet van 15 juli 1997 houdende de Vlaamse Wooncode
",2018-05-18,Besluit van de Vlaamse Regering,2018,5,18
1029415,"tot het verlenen van uitstel van maximaal vijf jaar aan De Vlashaard, cvba met sociaal oogmerk, om te voldoen aan de voorwaarde met betrekking tot de schaalgrootte, vermeld in artikel 40, § 1, tweede lid, 11°, van het decreet van 15 juli 1997 houdende de Vlaamse Wooncode
",2018-05-18,Besluit van de Vlaamse Regering,2018,5,18
1029416,"tot het verlenen van uitstel van maximaal vijf jaar aan Goed Wonen.Rupelstreek cvba met sociaal oogmerk, om te voldoen aan de voorwaarde met betrekking tot de schaalgrootte, vermeld in artikel 40, § 1, tweede lid, 11°, van het decreet van 15 juli 1997 houdende de Vlaamse Wooncode
",2018-05-18,Besluit van de Vlaamse Regering,2018,5,18
1029417,"tot het verlenen van uitstel van maximaal vijf jaar aan De Mandelbeek, cvba met sociaal oogmerk, om te voldoen aan de voorwaarde met betrekking tot de schaalgrootte, vermeld in artikel 40, § 1, tweede lid, 11°, van het decreet van 15 juli 1997 houdende de Vlaamse Wooncode
",2018-05-18,Besluit van de Vlaamse Regering,2018,5,18
1029418,"tot het verlenen van uitstel van maximaal vijf jaar aan Izegemse Bouwmaatschappij, cvba met sociaal oogmerk, om te voldoen aan de voorwaarde met betrekking tot de schaalgrootte, vermeld in artikel 40, § 1, tweede lid, 11°, van het decreet van 15 juli 1997 houdende de Vlaamse Wooncode
",2018-05-18,Besluit van de Vlaamse Regering,2018,5,18
1029419,"tot het verlenen van uitstel van maximaal vijf jaar aan Sociaal Wonen arro Leuven, cvba met sociaal oogmerk, om te voldoen aan de voorwaarde met betrekking tot de schaalgrootte, vermeld in artikel 40, § 1, tweede lid, 11°, van het decreet van 15 juli 1997 houdende de Vlaamse Wooncode
",2018-05-18,Besluit van de Vlaamse Regering,2018,5,18
1029420,"tot het verlenen van uitstel van maximaal vijf jaar aan Tieltse Bouwmaatschappij, cvba met sociaal oogmerk, om te voldoen aan de voorwaarde met betrekking tot de schaalgrootte, vermeld in artikel 40, § 1, tweede lid, 11°, van het decreet van 15 juli 1997 houdende de Vlaamse Wooncode
",2018-05-18,Besluit van de Vlaamse Regering,2018,5,18
1029421,"tot het verlenen van uitstel van maximaal vijf jaar aan WoonWel, cvba met sociaal oogmerk, om te voldoen aan de voorwaarde met betrekking tot de schaalgrootte, vermeld in artikel 40, § 1, tweede lid, 11°, van het decreet van 15 juli 1997 houdende de Vlaamse Wooncode
",2018-05-18,Besluit van de Vlaamse Regering,2018,5,18
1000008,"houdende de aanwending van de extra kredieten goedgekeurd in het kader van de Vlaamse tewerkstellingsconferentie voor de ondersteuning van de renovatie van het huurwoningpatrimonium van de sociale huisvestingsmaatschappijen, erkend door de Vlaamse Huisvestingsmaatschappij",1994-02-02,Besluit van de Vlaamse Regering,1994,2,2
1000406,houdende bepalingen tot begeleiding van de begroting 1994,1993-12-22,Decreet,1993,12,22
1000684,houdende instelling van een aanpassingspremie en een verbeteringspremie voor woningen,1992-12-18,Besluit van de Vlaamse Regering,1992,12,18
1000700,houdende diverse bepalingen tot begeleiding van de begroting 1992,1992-06-25,Decreet,1992,6,25
1000725,"houdende regeling van het beheer van het Investeringsfonds voor Grond- en Woonbeleid voor Vlaams-Brabant, en houdende regeling van de voorwaarden inzake woonprojecten met sociaal karakter ",1994-07-20,Besluit van de Vlaamse Regering,1994,7,20
1000971,HV 93/2 tot aanvulling en wijziging van de omzendbrief HV 92/3 van 8 oktober 1992 tot vaststelling van de oppervlakte- en technische normen in het kader van het urgentieplan voor de sociale huisvesting,1993-06-23,Omzendbrief,1993,6,23
1000972,HV 92/3 tot vaststelling van de oppervlakte- en technische normen in het kader van het urgentieplan voor de sociale huisvesting,1992-10-08,Omzendbrief,1992,10,8
1001045,"HV 93/3 betreffende de toepassing van het besluit van de Vlaamse regering van 3 februari 1993 houdende instelling van een tegemoetkoming in de last van hypothecaire leningen aangegaan om een woning te bouwen, te kopen of te renoveren",1993-07-22,Omzendbrief,1993,7,22
1001229,tot uitvoering van artikel 49 van het decreet van 25 juni 1992 houdende diverse bepalingen tot begeleiding van de begroting 1992,1992-07-23,Besluit van de Vlaamse Regering,1992,7,23
1001250,tot reglementering van het sociale huurstelsel voor de woningen die door de Vlaamse Huisvestingsmaatschappij of door de door de Vlaamse Huisvestingsmaatschappij erkende lokale sociale huisvestingsmaatschappijen worden verhuurd in toepassing van artikel 80ter van de Huisvestingscode,1994-09-29,Besluit van de Vlaamse Regering,1994,9,29
1001310,houdende bepalingen tot begeleiding van de begroting 1993,1992-12-18,Decreet,1992,12,18
1001718,"tot vaststelling van de lijst van de gemeenten ter uitvoering van artikel 28,tweede lid van het besluit van de Vlaamse regering van 23 juli 1992 tot uitvoering van artikel 49 van het decreet van 25 juni 1992 houdende diverse bepalingen ter begeleiding van de begroting 1992",1992-10-01,Ministerieel besluit,1992,10,1
1002352,Huisvestingscode,1970-12-10,Wetboek,1970,12,10
1002822,"houdende de voorwaarden betreffende leningen met gewestwaarborg voor het bouwen, kopen of verbouwen van middelgrote woningen",1991-03-20,Besluit van de Vlaamse Regering,1991,3,20
1002852,"houdende de voorwaarden betreffende sociale leningen met gewestwaarborg voor het bouwen, kopen of verbouwen van woningen",1995-01-11,Besluit van de Vlaamse Regering,1995,1,11
1002867,tot uitvoering van het decreet van 16 juni 1982 houdende maatregelen voor een sociaal grondbeleid,1995-03-08,Besluit van de Vlaamse Regering,1995,3,8
1002869,[houdende vaststelling van de typehuurovereenkomst van de woningen die toebehoren aan de erkende sociale huisvestingsmaatschappijen of aan de Vlaamse Maatschappij voor Sociaal Wonen],1995-04-06,Besluit van de Vlaamse Regering,1995,4,6
1002871,"tot bepaling van de vorm, de inhoud, de wijze van bijhouden, de modaliteiten van de actualisering en de controle van de registers van de kandidaat-huurders voor sociale woningen",1995-04-06,Besluit van de Vlaamse Regering,1995,4,6
1003453,tot oprichting en samenstelling van een Vlaamse Hoge Raad voor de Huisvesting,1988-09-21,Besluit van de Vlaamse Regering,1988,9,21
1004138,tot aanpassing van het maximumbedrag van de verkoopwaarde van een sociale woning,1995-12-05,Ministerieel besluit,1995,12,5
1004147,houdende bepalingen tot begeleiding van de begroting 1996,1995-12-22,Decreet,1995,12,22
1004569,"HV 96/1 betreffende de toepassing van artikel 18, par. 1 van het besluit van de Vlaamse regering van 23 juli 1992 tot uitvoering van artikel 49 van het decreet van 25 juni 1992 houdende diverse bepalingen tot begeleiding van de begroting 1992",1996-01-31,Omzendbrief,1996,1,31
1004855,[betreffende de huurlasten van de woningen die aan de erkende sociale huisvestingsmaatschappijen of aan de Vlaamse Maatschappij voor Sociaal Wonen toebehoren],1985-01-25,Besluit van de Vlaamse Regering,1985,1,25
1004949,H.V. 96/2 betreffende het reglement met betrekking tot de kostprijs- en subsidiebepaling van de projecten en de samenstelling van de dossiers ingediend door Domus Flandria N.V. voor definitieve machtiging,1996-09-27,Omzendbrief,1996,9,27
1005075,houdende bepalingen tot begeleiding van de begroting 1997,1996-12-20,Decreet,1996,12,20
1005318,houdende vaststelling van de procedure inzake de programmering en de subsidiëring van operaties en werken die voor sociale huisvestingsdoeleinden worden uitgevoerd,1996-12-19,Besluit van de Vlaamse Regering,1996,12,19
1005319,houdende de subsidiëring van de renovatie van woningen en gebouwen en van de bouw van nieuwe sociale woningen,1996-12-19,Besluit van de Vlaamse Regering,1996,12,19
1005320,houdende de subsidiëring van het bouwrijp maken van gronden en de aanleg van de infrastructuur en gemeenschapsvoorzieningen voor sociale woonwijken,1996-12-19,Besluit van de Vlaamse Regering,1996,12,19
1005321,houdende de kwaliteits- en veiligheidsnormen voor kamers en studentenkamers,1997-02-04,Decreet,1997,2,4
1005498,houdende de Vlaamse Wooncode,1997-07-15,Decreet,1997,7,15
1006114,houdende vaststelling van een type renovatiehuurovereenkomst voor sociale of bijzondere woonprojecten,1998-02-06,Ministerieel besluit,1998,2,6
1006150,houdende de afbakening van woonvernieuwings- en woningbouwgebieden,1998-04-07,Besluit van de Vlaamse Regering,1998,4,7
1006305,houdende regeling van de voorwaarden inzake het verlenen van een tussenkomst in de aankoopprijs van een bouwgrond in de Vlaamse rand,1998-07-24,Besluit van de Vlaamse Regering,1998,7,24
1006368,betreffende [...] het recht van voorkoop [...].,1998-10-06,Besluit van de Vlaamse Regering,1998,10,6
1006451,"tot uitvoering van artikel 12, §1 van het besluit van de Vlaamse regering van 21 oktober 1997 houdende bepaling van de erkennings- en subsidievoorwaarden van sociale verhuurkantoren",1998-11-12,Ministerieel besluit,1998,11,12
1006523,"houdende vaststelling van de kernsteden in uitvoering van het besluit van de Vlaamse regering van 23 november 1994 houdende de voorwaarden betreffende het toestaan van leningen aan particulieren door de Vlaamse Huisvestingsmaatschappij en van het besluit van de Vlaamse regering van 23 november 1994 betreffende de aanwending, door het Vlaams Woningfonds van de Grote Gezinnen, van de kapitalen die voortkomen van het Fonds B2",1999-01-19,Ministerieel besluit,1999,1,19
1006621,houdende de subsidiëring van de renovatie van woningen en gebouwen en van de bouw van nieuwe sociale woningen in de eigendomssector,1999-03-23,Besluit van de Vlaamse Regering,1999,3,23
1006781,"houdende de verbintenissen, voorwaarden, vergoedingen en sancties voor de bewoners van sociale koopwoningen en verkochte sociale huurwoningen ter uitvoering van de Vlaamse Wooncode",1999-06-08,Besluit van de Vlaamse Regering,1999,6,8
1006855,tot bepaling van de nader aan te wijzen inkomsten van de huurder of de kandidaat-huurder van een sociale woning,1999-07-09,Ministerieel besluit,1999,7,9
1006869,"tot bepaling van de opbrengst, berekeningswijze en voorwaarden van de fictieve rente, bedoeld in de besluiten van de Vlaamse regering ter uitvoering van de Vlaamse Wooncode",1999-07-01,Ministerieel besluit,1999,7,1
1006870,tot bepaling van de normen waaraan sociale koopwoningen en middelgrote woningen moeten voldoen en de voorwaarden waartegen een woning met een sociale koopwoning kan gelijkgesteld worden,1999-07-01,Ministerieel besluit,1999,7,1
1007101,ter uitvoering van het besluit van de Vlaamse regering van 23 maart 1999 houdende de subsidiëring van de renovatie van woningen en gebouwen en van de bouw van nieuwe sociale woningen in de eigendomssector,1999-11-08,Ministerieel besluit,1999,11,8
1007113,"tot uitvoering van artikel 12, eerste lid van het besluit van de Vlaamse regering van 19 december 1996 houdende de subsidiëring van het bouwrijp maken van gronden en de aanleg van de infrastructuur en gemeenschapsvoorzieningen voor sociale woonwijken",1999-12-09,Ministerieel besluit,1999,12,9
1007728,tot reglementering van het sociale huurstelsel voor sociale huurwoningen die worden verhuurd of onderverhuurd door de [Vlaamse Maatschappij voor Sociaal Wonen] of een sociale huisvestingsmaatschappij met toepassing van titel VII van de Vlaamse Wooncode,2000-10-20,Besluit van de Vlaamse Regering,2000,10,20
1007881,betreffende de subsidiëring van operaties en werken van een sociaal woonproject of een bijzonder woonproject,2000-12-13,Ministerieel besluit,2000,12,13
1007952,tot uitvoering van het besluit van de Vlaamse regering van 23 februari 2001 tot instelling van een tegemoetkoming bij het bouwen van een nieuwe woning of bij het uitvoeren van werken aan een woning,2001-03-08,Ministerieel besluit,2001,3,8
1008184,tot uitvoering van [artikel 37 van de Huisvestingscode] waarbij de regering ertoe gemachtigd wordt de bedrijvigheid van de Nationale Maatschappij voor de Huisvesting en van de Nationale Landmaatschappij uit te breiden,1968-12-27,Koninklijk Besluit,1968,12,27
1009682,"tot vaststelling der technische minimumvoorwaarden waaraan de woningen moeten voldoen die, in het Vlaamse Gewest, gebouwd of verworven worden met het voordeel van de bouw- of de verwervingspremie",1981-03-18,Ministerieel besluit (Federaal),1981,3,18
1011563,"tussen de Vlaamse regering en de Regering van de Republiek Bulgarije, ondertekend te Sofia op 18 mei 2001 - uitwisseling van de ratificatie-instrumenten",2001-05-18,Verdrag,2001,5,18
1011564,"tussen de Regering van de Tsjechische Republiek en de Vlaamse regering, ondertekend in Praag op 12 februari 2002 - uitwisseling van ratificatie-instrumenten",2002-02-12,Verdrag,2002,2,12
1011614,betreffende de verzekering gewaarborgd wonen,2003-07-18,Besluit van de Vlaamse Regering,2003,7,18
1011686,"tussen de Vlaamse regering en de Regering van Roemenië, ondertekend in Boekarest op 12 juni 1997",1997-06-12,Verdrag,1997,6,12
1011902,betreffende de kwaliteits- en veiligheidsnormen voor kamers en studentenkamers,2003-10-03,Besluit van de Vlaamse Regering,2003,10,3
1011913,tussen de Vlaamse Gemeenschap en het Vlaams Gewest en de republiek Slovenië,1998-09-03,Verdrag,1998,9,3
